"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","BI0Dve","yYlJEf href","QuU3Wb","yYlJEf href 2","QuU3Wb 2","rllt__details 4","uDyWh"
"Sanchu Animal Hospital 24x7 | Coimbatore","· Animal hospital","4.5","(1K)","5+ years in business · First Floor, at 316-2, Shree Padmavathi Tower, Mettupalayam Rd, near Ganga Hospital, opposite to NTC Murugan Mills · 099405 49831","Open 24 hours","On-site services","https://veterinary-hospital.sanchuanimalhospital.com/sanchu/animal-hospital-in-coimbatore/animal-hospital-in-sai-baba-colony/sanchu-animal-hospital-in-sai-baba-colony-coimbatore--0756d57a-f23c-409c-a04e-610577d5969e/home","Website","https://www.google.com/maps/dir//First+Floor,+Sanchu+Animal+Hospital+24x7+%7C+Coimbatore,+at+316-2,+Shree+Padmavathi+Tower,+Mettupalayam+Rd,+near+Ganga+Hospital,+opposite+to+NTC+Murugan+Mills,+Coimbatore,+Tamil+Nadu+641043/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85993aa2d82eb:0x5098bb09c8a66412?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Blue Plus Pet Hospital","· Animal hospital","4.6","(176)","3+ years in business · 397, Street Number 45, Pankaja Mills Rd · 094895 01333","Open","On-site services","","","https://www.google.com/maps/dir//Blue+Plus+Pet+Hospital,+397,+Street+Number+45,+Pankaja+Mills+Rd,+Ramasamy+Nagar,+Puliakulam,+Coimbatore,+Tamil+Nadu+641045/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba859f4749eea93:0x981c3174602c48a8?sa=X&ved=1t:57443&ictx=111","Directions","· Closes 11:30 pm",""
"RK PETS POLYCLINIC 24/7 | Coimbatore","· Veterinarian","4.6","(276)","10+ years in business · HA 27, Ganapathy Maanagar · 079046 77550","Open","","https://www.rkpetspolyclinic.com/","Website","https://www.google.com/maps/dir//RK+PETS+POLYCLINIC+24%2F7+%7C+Coimbatore,+HA+27,+Ganapathy+Maanagar,+Ganapathy,+Coimbatore,+Tamil+Nadu+641035/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba859611a113e39:0x3d844cc008ab3264?sa=X&ved=1t:57443&ictx=111","Directions","· Closes 11:30 pm","""My dog was diagnosed with tick fever, and it was cured very quickly."""
"SKS VETERINARY HOSPITAL","· Animal hospital","4.3","(762)","20+ years in business · 5th street, Bharathi Colony Rd · 086800 70014","Closed","On-site services","http://www.skspethospital.com/","Website","https://www.google.com/maps/dir//SKS+VETERINARY+HOSPITAL,+5th+street,+Bharathi+Colony+Rd,+Peelamedu,+Lal+Bahadhur+Colony,+Coimbatore,+Tamil+Nadu+641004/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8583a72f1a2ff:0x5cc674f10cd1814a?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"Regional Joint Director Animal Husbandry","· Animal hospital","4.1","(32)","10+ years in business · Coimbatore, Tamil Nadu","Open","","","","https://www.google.com/maps/dir//Regional+Joint+Director+Animal+Husbandry,+Town+Hall,+Coimbatore,+Tamil+Nadu+641001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8590a39b73953:0xd39bb06269da29f5?sa=X&ved=1t:57443&ictx=111","Directions","· Closes 12 am","""No doctor fees."""
"JP PET SPECIALITY HOSPITAL 24*7 (emergency care) |r.s Puram ,CBE","· Animal hospital","4.1","(360)","20+ years in business · NO. 18, 1st St · 096006 23980","Closed","","http://www.jppethospital.com/","Website","https://www.google.com/maps/dir//JP+PET+SPECIALITY+HOSPITAL+24*7+(emergency+care)+%7Cr.s+Puram+,CBE,+NO.+18,+1st+St,+Subramaniapuram,+LIC+COLONY,+R.S.+Puram,+Coimbatore,+Tamil+Nadu+641002/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8591a62d00077:0x1e0cba5ef0744a05?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon","""They saved my pet affected with viral infection."""
"Cotton City Pets Poly Clinic","· Veterinarian","4.4","(1.6K)","10+ years in business · 177, Alagesan Rd · 083001 14003","Closed","On-site services","","","https://www.google.com/maps/dir//Cotton+City+Pets+Poly+Clinic,+177,+Alagesan+Rd,+Saibaba+Colony,+Coimbatore,+Tamil+Nadu+641011/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba858e632e271c3:0x5f8634e3f35d3eeb?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"UKAM Pet Clinic |Pet Clinic in Coimbatore | Veterinary Clinic in Coimbatore |Per Surgery Clinic Coimbatore | Pet care Near Me","· Veterinarian","4.8","(73)","24, Chinna Subbanna St · 079049 45359","Closed","","http://www.ukampetclinic.com/","Website","https://www.google.com/maps/dir//UKAM+Pet+Clinic+%7CPet+Clinic+in+Coimbatore+%7C+Veterinary+Clinic+in+Coimbatore+%7CPer+Surgery+Clinic+Coimbatore+%7C+Pet+care+Near+Me,+24,+Chinna+Subbanna+St,+Saibaba+Colony,+Coimbatore,+Tamil+Nadu+641011/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba859007000e4cf:0x4b2c2b085c2cfb9c?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon","""The Doctor and staffs are taking care pet perfectly."""
"Government Veterinary Polyclinic","· Animal hospital","4.0","(623)","7+ years in business · Town Hall, 162, Ismail St · 0422 239 7614","Closed","","","","https://www.google.com/maps/dir//Government+Veterinary+Polyclinic,+Town+Hall,+162,+Ismail+St,+Town+Hall,+Coimbatore,+Tamil+Nadu+641001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8590a16139ebb:0x3442cb99efff0284?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 8 am Mon","""Great treatments , our puppy got cured from parvo virus in 3 days."""
"SRI PET CLINIC","· Veterinarian","4.9","(7)","7+ years in business · Villankurichi Rd · 099525 19528","Open","","","","https://www.google.com/maps/dir//SRI+PET+CLINIC,+Villankurichi+Rd,+Indhuma+Nagar,+Coimbatore,+Tamil+Nadu+641051/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba857cafe8b150b:0xe2b621f532704933?sa=X&ved=1t:57443&ictx=111","Directions","· Closes 11:30 pm","""Doctor cured the issues."""
